",TC",email,phone,username,password,confirmPassword,comments,"redirect,"
",1",teste@gmail.com,12345678901234,abcd,Abcde1,igual,abc,"true,"
",2",null,1,abc,abcde,igual,abc,"false,"
",3",null,1234567,abcd,abcdef,diferente,abcd@<>,"false,"
",4",null,12345678,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,abcde1,null,null,"false,"
",5",null,12345678901234,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Abcde1,igual,abc,"false,"
",6",null,123456789012340,1abcd,abcde1aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,diferente,abcd@<>,"false,"
",7",null,1234567890123500,1aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Abcde1!@-.,null,null,"false,"
",8",null,abcd,abcd1_.,null,igual,abc,"false,"
",9",a@gmail.com,1,abcd,abcde1,igual,abcd@<>,"false,"
",10",a@gmail.com,1234567,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Abcde1,diferente,null,"false,"
",11",a@gmail.com,12345678,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,abcde1aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,null,abc,"false,"
",12",a@gmail.com,12345678901234,1abcd,Abcde1!@-.,igual,abcd@<>,"false,"
",13",a@gmail.com,123456789012340,1aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,null,diferente,null,"false,"
",14",a@gmail.com,1234567890123500,abcd1_.,abcde,null,abc,"false,"
",15",a@gmail.com,abcd,abcd1_..,null,igual,abcd@<>,"false,"
",16",a@gmail.com,null,null,abcde,diferente,null,"false,"
",17",a@gmail.com,null,abc,abcdef,null,abc,"false,"
",18",teste@gmail.com,1234567,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Abcde1!@-.,diferente,abc,"false,"
",19",teste@gmail.com,12345678,1abcd,null,null,abcd@<>,"false,"
",20",teste@gmail.com,12345678901234,1aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,abcde,igual,null,"false,"
",21",teste@gmail.com,123456789012340,abcd1_.,null,diferente,abc,"false,"
